internal,exact_best_match,index_external,index_internal,external,similarity
1% fat buttermilk,milk buttermilk,37686.0,0.0,milk buttermilk fluid cultured red fat,0.8411832451820374
1% fat cottage cheese,cheese cottage low fat 1% milk fat,44.0,1.0,cheese cottage low fat 1% milk fat,0.8504257202148438
10% cream,cream fluid,129.0,2.0,cream fluid half and half,0.7863526344299316
100% bran,seal,36885.0,3.0,seal bearded oogruk meat dried alaska native,0.7251427173614502
10 inch flour tortilla,wheat flour white tortilla mix,28417.0,4.0,wheat flour white tortilla mix enriched,0.8502678275108337
12 inch pizza crust,pizza meat topping thick crust,30039.0,5.0,pizza meat topping thick crust frozen cooked,0.8208444118499756
18% table cream,cream fluid light coffee cream or table cream,133.0,6.0,cream fluid light coffee cream or table cream,0.7408480644226074
2% buttermilk,milk buttermilk,248.0,7.0,milk buttermilk fluid cultured low fat,0.8654145002365112
2% cheddar cheese,cheese cheddar,18.0,8.0,cheese cheddar,0.9505470991134644
2% evaporated milk,milk fluid 1% fat,537.0,9.0,milk fluid 1% fat vitamin a vitamin d,0.7165289521217346
2% fat cottage cheese,cheese cottage low fat 2% milk fat,40.0,10.0,cheese cottage low fat 2% milk fat,0.8512589335441589
2% milk,milk fluid 1% fat,537.0,11.0,milk fluid 1% fat vitamin a vitamin d,0.8028056025505066
2% mozzarella cheese,cheese mozzarella,64.0,12.0,cheese mozzarella whole milk,0.9431502223014832
35% cream,cream fluid,129.0,13.0,cream fluid half and half,0.75022292137146
6 inch corn tortilla,tortilla blue corn,37262.0,14.0,tortilla blue corn sakwavikaviki hopi,0.8326795101165771
6 inch flour tortilla,wheat flour white tortilla mix,28417.0,15.0,wheat flour white tortilla mix enriched,0.8359424471855164
7 up,willow,36995.0,16.0,willow leaf in oil alaska native,0.6697961688041687
80% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,17.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8702249526977539
85% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,18.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8767739534378052
8 inch flour tortilla,wheat flour white tortilla mix,28417.0,19.0,wheat flour white tortilla mix enriched,0.831840991973877
"9"" pastry pie shell",pie crust,26043.0,20.0,pie crust standard-type dry mix,0.796865701675415
"9"" unbaked pie shell",pie fried pie,26015.0,21.0,pie fried pie fruit,0.7428456544876099
90% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,22.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8711388111114502
93% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,23.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8659394383430481
95% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,24.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8699547648429871
96% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat,32459.0,25.0,beef australian imp grass-fed ground 85% lean / 15% fat raw,0.8681178689002991
98% fat free cream of chicken soup,campbell's 98% fat free cream of mushroom soup,35082.0,26.0,campbell's 98% fat free cream of mushroom soup condensed,0.9273184537887573
98% fat free cream of mushroom soup,campbell's 98% fat free cream of mushroom soup,35082.0,27.0,campbell's 98% fat free cream of mushroom soup condensed,0.9768827557563782
9 inch baked pie crust,pie crust deep dish frozen baked,26640.0,28.0,pie crust deep dish frozen baked made with enriched flour,0.8478869199752808
9 inch deep dish pie crust,pie crust deep dish,26629.0,29.0,pie crust deep dish frozen unbaked made with enriched flour,0.8793748021125793
9 inch graham cracker crust,pie crust cookie-type graham cracker,26619.0,30.0,pie crust cookie-type graham cracker ready crust,0.8230717778205872
9 inch pie shell,pie filling apple,27575.0,31.0,pie filling apple canned,0.6543576717376709
a.1. original sauce,sauce barbecue kc masterpiece original,35152.0,32.0,sauce barbecue kc masterpiece original,0.7647400498390198
abalone,abalone,20412.0,33.0,abalone mixed specie raw,1.000000238418579
absinthe,celery,12000.0,34.0,celery raw,0.6904492378234863
absolut citron vodka,vitasoy usa nasoya,21531.0,35.0,vitasoy usa nasoya lite silken tofu,0.6839818358421326
achiote,sapote,8985.0,36.0,sapote mamey raw,0.756614089012146
achiote oil,oil safflower,2597.0,37.0,oil safflower salad or cooking linoleic over 70%,0.7710935473442078
achiote paste,almond paste,15224.0,38.0,almond paste,0.7309367060661316
achiote powder,inf formula abbott similac neosure powder,2229.0,39.0,inf formula abbott similac neosure powder with arachidonic acid docosahexaenoic acid,0.8175143003463745
acinus di pepe pasta,prego pasta traditional italian sauce,6291.0,40.0,prego pasta traditional italian sauce ready-to-serve,0.7525636553764343
acorn,acorn,15209.0,41.0,acorn raw,0.9999999403953552
acorn squash,squash winter acorn,13150.0,42.0,squash winter acorn raw,0.8823704719543457
active dry yeast,leavening agent yeast baker's active dry,26162.0,43.0,leavening agent yeast baker's active dry,0.8654947280883789
active starter,healthy request,6407.0,44.0,healthy request cream of celery condensed,0.700411856174469
adobo sauce,sauce pesto buitoni,6175.0,45.0,sauce pesto buitoni pesto with basil ready-to-serve refrigerated,0.7966399788856506
adobo seasoning,poultry seasoning,919.0,46.0,poultry seasoning,0.7414911985397339
advocaat,infform,2322.0,47.0,infform meadjohnson infant formula gentlease lipil with iron prepfrpdr,0.6484652161598206
adzuki bean,bean adzuki,20830.0,48.0,bean adzuki mature seed raw,0.9551239013671875
agar,cod,19950.0,49.0,cod atlantic raw,0.7809630036354065
agar agar,seaweed agar,13007.0,50.0,seaweed agar raw,0.7612802386283875
agar agar flake,celery flake,38269.0,51.0,celery flake dried,0.6943381428718567
agave,agave,37182.0,52.0,agave raw southwest,0.9999995231628418
agave nectar,agave,37182.0,53.0,agave raw southwest,0.8861042261123657
agave syrup,sweetener syrup agave,28146.0,54.0,sweetener syrup agave,0.9323983192443848
aged cheddar cheese,cheese cheddar,18.0,55.0,cheese cheddar,0.9224095344543457
aged white cheddar cheese,cheese cheddar,18.0,56.0,cheese cheddar,0.8880542516708374
ahi,poi,12673.0,57.0,poi,0.8047778606414795
ahi tuna steak,tuna salad,20318.0,58.0,tuna salad,0.8070829510688782
aioli,surimi,20261.0,59.0,surimi,0.7621699571609497
ajinomoto,taro shoot,13295.0,60.0,taro shoot raw,0.6607957482337952
ajwain,rowal raw,9143.0,61.0,rowal raw,0.7198880314826965
albacore tuna,fish tuna,20298.0,62.0,fish tuna light canned in water drained sol,0.8049761056900024
albacore tuna in water,fish tuna light canned in water,20300.0,63.0,fish tuna light canned in water drained sol,0.8163841366767883
alcaparrado,pan dulce la ricura salpora de arroz,26675.0,64.0,pan dulce la ricura salpora de arroz cookie-like,0.7711302638053894
alcohol,squid,20481.0,65.0,squid mixed specie raw,0.9269769191741943
ale,dock,13509.0,66.0,dock raw,0.8431505560874939
aleppo pepper,pepper white,917.0,67.0,pepper white,0.8295970559120178
alfalfa,alfalfa seed,11566.0,68.0,alfalfa seed sprouted raw,0.8681080937385559
alfalfa sprout,alfalfa seed sprouted,11567.0,69.0,alfalfa seed sprouted raw,0.8551817536354065
alfredo sauce,sauce alfredo mix,6313.0,70.0,sauce alfredo mix dry,0.923040509223938
alfredo sauce mix,sauce alfredo mix,6313.0,71.0,sauce alfredo mix dry,0.9875293970108032
all bran cereal,cereal rte wheat bran,37956.0,72.0,cereal rte wheat bran presweetened with nut fruit,0.8776161670684814
all purpose flour,rest latino,37447.0,73.0,rest latino arroz con abichuelas colorado rice red bean,0.7918115854263306
all purpose greek seasoning,poultry seasoning,919.0,74.0,poultry seasoning,0.7163538336753845
all purpose white flour,wheat flour white industrial,28747.0,75.0,wheat flour white industrial 10% protein unbleached enriched,0.8427299857139587
alligator meat,moose meat,36873.0,76.0,moose meat raw alaska native,0.9089670777320862
allspice,allspice,864.0,77.0,allspice ground,0.9999999403953552
allspice berry,allspice,864.0,78.0,allspice ground,0.8013291358947754
almond,almond,15215.0,79.0,almond,0.9999999403953552
almond bark,nut almond,15477.0,80.0,nut almond oil roasted with salt added smoke flavor,0.8146356344223022
almond biscotti,candy nougat with almond,37862.0,81.0,candy nougat with almond,0.731526792049408
almond brickle chip,cooky chocolate chip,25556.0,82.0,cooky chocolate chip commonly prep reg lower fat,0.7717114686965942
almond butter,almond butter,15421.0,83.0,almond butter plain ,0.9999998807907104
almond essence,almond butter,15421.0,84.0,almond butter plain ,0.8559181690216064
almond extract,vanilla extract,949.0,85.0,vanilla extract,0.8226592540740967
almond filling,almond butter,15421.0,86.0,almond butter plain ,0.8272671103477478
almond flavored liqueur,alcoholic beverage liqueur,19490.0,87.0,alcoholic beverage liqueur coffee 53 proof,0.8208107352256775
almond flavoring,sweetener tabletop,27659.0,88.0,sweetener tabletop aspartame equal packet,0.7621410489082336
almond flour,sesame flour,15188.0,89.0,sesame flour part defatted,0.8591434359550476
almond half,almond,15215.0,90.0,almond,0.8261435627937317
almond liqueur,alcoholic beverage liqueur,19490.0,91.0,alcoholic beverage liqueur coffee 53 proof,0.8470167517662048
almond macaroon,cooky coconut macaroon,36162.0,92.0,cooky coconut macaroon,0.8522209525108337
almond meal,sesame meal,15192.0,93.0,sesame meal part defatted,0.8203028440475464
almond milk,beverage almond milk,18422.0,94.0,beverage almond milk sweetened vanilla flavor ready-to-drink,0.8965612053871155
almond oil,oil almond,2624.0,95.0,oil almond,0.9184584021568298
almond paste,almond paste,15224.0,96.0,almond paste,1.0
almond powder,onion powder,905.0,97.0,onion powder,0.8305462002754211
almond syrup,fruit syrup,26844.0,98.0,fruit syrup,0.865166962146759
almond toffee bit,candy toffee,27742.0,99.0,candy toffee prepared-from-recipe,0.8214914202690125
alphabet pasta,pasta,28427.0,100.0,pasta gluten-free corn dry,0.8919130563735962
alum,wheat durum,28390.0,101.0,wheat durum,0.7205331921577454
aluminum foil,coconut milk,15299.0,102.0,coconut milk raw liq expressed from grated meat water,0.6685517430305481
aluminum free baking powder,leavening agent baking powder,26141.0,103.0,leavening agent baking powder double-acting sodium al sulfate,0.8655416369438171
amaranth,amaranth grain,28179.0,104.0,amaranth grain uncooked,0.8474169373512268
amaranth flour,amaranth grain,28179.0,105.0,amaranth grain uncooked,0.879092812538147
amaretti,surimi,20261.0,106.0,surimi,0.7651751041412354
amaretti cooky,cooky,25536.0,107.0,cooky brownie commonly prep,0.8131504654884338
amaretto,pepperoni,6556.0,108.0,pepperoni bf pork sliced,0.7243041396141052
amaretto cooky,spaghetti spinach cooked,28525.0,109.0,spaghetti spinach cooked,0.8113501071929932
amaretto liqueur,alcoholic beverage liqueur,19490.0,110.0,alcoholic beverage liqueur coffee 53 proof,0.8516373038291931
amarula cream liqueur,alcoholic beverage liqueur coffee with cream,19495.0,111.0,alcoholic beverage liqueur coffee with cream 34 proof,0.8341431021690369
amber beer,beverage amber,19169.0,112.0,beverage amber hard cider,0.8389559388160706
amber rum,willow,36995.0,113.0,willow leaf in oil alaska native,0.8391724824905396
amchoor powder,kohlrabi,12314.0,114.0,kohlrabi raw,0.7380309104919434
amchur powder,butter replcmnt powder,37939.0,115.0,butter replcmnt powder,0.773411750793457
american cheese,cheese american,165.0,116.0,cheese american nonfat or fat free,0.9428501725196838
amish starter,moose liver,36878.0,117.0,moose liver braised alaska native,0.6808309555053711
ammonia,formulated,15340.0,118.0,formulated wheat-based unflavored with salt,0.9577999114990234
anaheim chili,chili,30062.0,119.0,chili no bean canned entree,0.8689088225364685
anaheim chilies,yellowtail,20338.0,120.0,yellowtail mixed specie raw,0.7587708830833435
anasazi bean,mungo bean,21195.0,121.0,mungo bean mature seed raw,0.7602409720420837
ancho chili,pepper ancho,15088.0,122.0,pepper ancho dried,0.7730382084846497
ancho chilies,pepper ancho,15088.0,123.0,pepper ancho dried,0.7558382153511047
anchovy packed in oil,anchovy european canned in oil,19915.0,124.0,anchovy european canned in oil drained sol,0.8458114862442017
anchovy,anchovy,19910.0,125.0,anchovy european raw,0.9999998211860657
anchovy fillet,denny's fish fillet,37344.0,126.0,denny's fish fillet battered or breaded fried,0.8138404488563538
anchovy paste,anchovy,19910.0,127.0,anchovy european raw,0.8491917848587036
andes mint candy,candy chocolate,28123.0,128.0,candy chocolate dark nfs 45-59% cacao sol 90%; 60-69% cacao sol,0.8174901008605957
andouille sausage,pork bf sausage,6577.0,129.0,pork bf sausage fresh cooked,0.7278833389282227
anejo cheese,liver cheese,6518.0,130.0,liver cheese pork,0.7540660500526428
angel flake coconut,cloudberry,36827.0,131.0,cloudberry raw alaska native,0.7511569261550903
angel food cake,cake chocolate,25424.0,132.0,cake chocolate commonly prep with chocolate frosting in-store bakery,0.7869670987129211
angel food cake mix,shortening cake mix,2656.0,133.0,shortening cake mix soybean hydrated cottonseed hydrated,0.7956327199935913
angel hair pasta,cloudberry,36827.0,134.0,cloudberry raw alaska native,0.7415505051612854
angelica,peach,8733.0,135.0,peach yellow raw,0.9011629223823547
angostura bitter,sapodilla,8983.0,136.0,sapodilla raw,0.7504906058311462
animal cracker,keebler animal cracker,35350.0,137.0,keebler animal cracker,0.906572699546814
anise,oyster,20451.0,138.0,oyster eastern wild raw,0.7998263239860535
anise extract,vanilla extract imitation,951.0,139.0,vanilla extract imitation alcohol,0.7848570346832275
anise flavored liqueur,alcoholic beverage liqueur,19490.0,140.0,alcoholic beverage liqueur coffee 53 proof,0.8347136378288269
anise flavoring,cornnuts barbecue-flavor,27755.0,141.0,cornnuts barbecue-flavor,0.7561327815055847
anise oil,oil sheanut,2634.0,142.0,oil sheanut,0.8267815113067627
anise seed,anise seed,866.0,143.0,anise seed,1.0
anisette,roselle,8979.0,144.0,roselle raw,0.754603922367096
anjou pear,pear,8794.0,145.0,pear raw,0.7558521628379822
annatto oil,oil,2874.0,146.0,oil industrial soy part hydrogenated allpurp,0.8054823279380798
annatto seed,caraway seed,872.0,147.0,caraway seed,0.8571181893348694
apple,apple,8074.0,148.0,apple raw with skin,0.9999998211860657
apple brandy,apple juice,9272.0,149.0,apple juice canned or bottled unsweetened with added vitamin c ca k,0.8280861973762512
apple butter,fruit butter apple,27540.0,150.0,fruit butter apple,0.8896205425262451
apple chip,potato chip,26904.0,151.0,potato chip barbecue-flavor,0.8048428893089294
apple cider,vinegar cider,946.0,152.0,vinegar cider,0.8353598117828369
apple cider vinegar,vinegar cider,946.0,153.0,vinegar cider,0.926708459854126
apple jelly,apple juice,8131.0,154.0,apple juice canned or bottled unsweetened vitamin c,0.8402402997016907
apple juice,apple juice,8131.0,155.0,apple juice canned or bottled unsweetened vitamin c,0.9999997615814209
apple juice concentrate,apple juice frozen concentrate,8136.0,156.0,apple juice frozen concentrate unsweetened undil c,0.917863130569458
apple liqueur,alcoholic beverage liqueur,19490.0,157.0,alcoholic beverage liqueur coffee 53 proof,0.8437464833259583
apple pie,pie apple,25969.0,158.0,pie apple commonly prep enriched flour,0.9309665560722351
apple pie filling,pie filling apple,27575.0,159.0,pie filling apple canned,0.9628447890281677
apple pie spice,pumpkin pie spice,920.0,160.0,pumpkin pie spice,0.9205145239830017
apple schnapps,strudel apple,26106.0,161.0,strudel apple,0.7100856304168701
apple smoked bacon,ham honey smoked cooked,6727.0,162.0,ham honey smoked cooked,0.8166484832763672
applejack,apple,8074.0,163.0,apple raw with skin,0.861274003982544
applesauce,applesauce,8144.0,164.0,applesauce canned unsweetened c includes united states department of agriculture commod,1.0
apricot,apricot,8152.0,165.0,apricot raw,0.999999463558197
apricot baby food,baby food fruit applsauc apricot,1366.0,166.0,baby food fruit applsauc apricot strawberry,0.8820889592170715
apricot brandy,apricot,8152.0,167.0,apricot raw,0.8633874654769897
apricot filling,apricot,8152.0,168.0,apricot raw,0.8735048174858093
apricot fruit spread,apricot nectar,8216.0,169.0,apricot nectar canned c,0.837566614151001
apricot gelatin,apricot dried,8200.0,170.0,apricot dried sulfured uncooked,0.8105332255363464
apricot half,apricot,8152.0,171.0,apricot raw,0.917100727558136
apricot jam,jam preserve apricot,27912.0,172.0,jam preserve apricot,0.9362379312515259
apricot liqueur,alcoholic beverage liqueur,19494.0,173.0,alcoholic beverage liqueur coffee with cream 34 proof,0.8026670217514038
apricot nectar,apricot nectar,8216.0,174.0,apricot nectar canned c,0.9999997615814209
apricot preserve,apricot nectar,8216.0,175.0,apricot nectar canned c,0.9281253218650818
apricot puree,apricot,8152.0,176.0,apricot raw,0.832777738571167
aquavit,pout ocean,20090.0,177.0,pout ocean raw,0.6715806126594543
arame seaweed,seaweed,13006.0,178.0,seaweed agar raw,0.8938920497894287
arbol chile,pepper hot chile,15047.0,179.0,pepper hot chile sun-dried,0.6855055093765259
arborio rice,rice,28266.0,180.0,rice brown long-grain raw,0.7916696071624756
arctic char,herring pacific,20040.0,181.0,herring pacific raw,0.7952386140823364
arm roast,squid,20481.0,182.0,squid mixed specie raw,0.809507429599762
armagnac,lasagna,30058.0,183.0,lasagna chip frozen prep,0.6427125334739685
aromatic bitter,sucker,20255.0,184.0,sucker white raw,0.804214358329773
arrowroot,arrowroot,13667.0,185.0,arrowroot raw,1.0000001192092896
artichoke,artichoke,11583.0,186.0,artichoke globe or french raw,0.9999998211860657
artichoke bottom,artichoke,11583.0,187.0,artichoke globe or french raw,0.8778524994850159
artichoke heart,artichoke,11583.0,188.0,artichoke globe or french raw,0.8857442736625671
artisan bread,shortening bread,2654.0,189.0,shortening bread soybean hydrated cottonseed,0.7600120306015015
arugula,arugula,15039.0,190.0,arugula raw,1.0
arugula leaf,arugula,15039.0,191.0,arugula raw,0.8937287926673889
asadero cheese,cheese edam,48.0,192.0,cheese edam,0.778487503528595
asafoetida powder,inf formula mea johnso enfami ar lipil powder,2218.0,193.0,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,0.8212394714355469
ascorbic acid,inf form me jo next step proso lipil reato feed with arachidonic acid docosahexaenoic acid,2105.0,194.0,inf form me jo next step proso lipil reato feed with arachidonic acid docosahexaenoic acid,0.726283848285675
asiago cheese,cheese gouda,56.0,195.0,cheese gouda,0.8465653657913208
asian chili sauce,sauce chili pepper,6323.0,196.0,sauce chili pepper hot immature green canned,0.8646824359893799
asian pear,pear asian,9025.0,197.0,pear asian raw,0.9367007613182068
asian seasoning,poultry seasoning,919.0,198.0,poultry seasoning,0.750554621219635
asparagus,asparagus,11603.0,199.0,asparagus raw,0.9999995827674866
asparagus spear,asparagus,11603.0,200.0,asparagus raw,0.8368999361991882
asparagus tip,asparagus,11603.0,201.0,asparagus raw,0.8668927550315857
assorted fresh vegetable,vegetable mixed canned,13422.0,202.0,vegetable mixed canned sol liquid,0.7272288203239441
atkins baking mix,pasta mix,36562.0,203.0,pasta mix classic cheeseburger macaroni unprepared,0.8066365718841553
with juice gratin potato,potato with juice gratin,12774.0,204.0,potato with juice gratin home-prepared from recipe using butter,0.9784310460090637
with juice gratin potato mix,potato with juice gratin dry mix,12811.0,205.0,potato with juice gratin dry mix unprepared,0.9592564702033997
with juice jus mix,gravy campbell's with juice jus,6434.0,206.0,gravy campbell's with juice jus,0.7761204242706299
with juice jus sauce,gravy with juice jus,5287.0,207.0,gravy with juice jus canned,0.8647673726081848
aubergine,nectarine,8630.0,208.0,nectarine raw,0.7322978973388672
avocado,avocado,8219.0,209.0,avocado raw all comm var,0.9999997019767761
avocado dip,avocado,8219.0,210.0,avocado raw all comm var,0.8808149695396423
avocado oil,oil avocado,2686.0,211.0,oil avocado,0.9687948226928711
azuki bean,mung bean,11706.0,212.0,mung bean mature seed sprouted raw,0.830037534236908
baby artichoke,artichoke,11583.0,213.0,artichoke globe or french raw,0.8704025149345398
baby arugula,arugula,15039.0,214.0,arugula raw,0.8543887138366699
baby back rib,sunshine gripz,35938.0,215.0,sunshine gripz cheez-it cracker,0.7849937677383423
baby back rib rack,beef rib back rib,31609.0,216.0,"beef rib back rib bone-in lean 0"" fat all grade cooked braised",0.7651968002319336
baby beet,beet,11804.0,217.0,beet raw,0.8587254881858826
baby bella mushroom,babyfoo,2430.0,218.0,babyfoo ban wi mix berr st,0.7770223021507263
baby bok choy,kanpyo,12303.0,219.0,kanpyo dried gourd strip,0.6883987188339233
baby calamari,baby food ravioli,1102.0,220.0,baby food ravioli chip filled with tomato sauce,0.732112467288971
baby carrot,carrot baby,15042.0,221.0,carrot baby raw,0.9537075161933899
