,internal,best_match,index_of_bast_match,exact_best_match,similarity
0,1% fat buttermilk,milk buttermilk dried,275,milk buttermilk dried,0.8596780896186829
1,1% fat cottage cheese,cheese cottage low fat 1% milk fat,44,cheese cottage low fat 1% milk fat,0.8522928953170776
2,10% cream,cream fluid half and half,128,cream,0.7869202494621277
3,100% bran,mixed nut oil roasted with peanut ,15333,mixed nut,0.7787895798683167
4,10 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.881951093673706
5,12 inch pizza crust,"pizza hut 12"" chip pizza pan crust",29269,"pizza hut 12"" chip pizza pan crust",0.8374416828155518
6,18% table cream,margarine reg 80% fat comp steak with salt,2740,margarine reg 80% fat,0.8070358037948608
7,2% buttermilk,milk buttermilk fluid cultured low fat,248,milk buttermilk,0.8764790296554565
8,2% cheddar cheese,cheese cheddar,18,cheese cheddar,0.8797516822814941
9,2% evaporated milk,milk fluid 1% fat vitamin a vitamin d,537,milk fluid 1% fat,0.7917138934135437
10,2% fat cottage cheese,cheese cottage low fat 2% milk fat,40,cheese cottage low fat 2% milk fat,0.8654834032058716
11,2% milk,milk fluid 1% fat vitamin a vitamin d,537,milk fluid 1% fat,0.8426668047904968
12,2% mozzarella cheese,cheese mozzarella low sodium,38256,cheese mozzarella low sodium,0.87058424949646
13,35% cream,ground turkey 85% lean 15% fat raw,4556,ground turkey 85% lean,0.7602944374084473
14,6 inch corn tortilla,tortilla ready-to-bake or -fry corn,26125,tortilla,0.8332173824310303
15,6 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.8799421787261963
16,7 up,tea tundra herb laborador combination alaska native,36954,tea,0.7938755750656128
17,80% lean ground beef,beef ground 80% lean meat / 20% fat patty cooked broiled,34201,beef ground 80% lean meat / 20% fat patty,0.8729122877120972
18,85% lean ground beef,beef ground 85% lean meat / 15% fat patty cooked broiled,34173,beef ground 85% lean meat / 15% fat patty,0.8699116706848145
19,8 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.8770719170570374
20,"9"" pastry pie shell","pizza hut 14"" chip pizza stuffed crust",29881,"pizza hut 14"" chip pizza stuffed crust",0.827665388584137
21,"9"" unbaked pie shell","pizza hut 14"" chip pizza hand-tossed crust",29311,"pizza hut 14"" chip pizza hand-tossed crust",0.8125142455101013
22,90% lean ground beef,beef ground 90% lean meat / 10% fat patty cooked broiled,34145,beef ground 90% lean meat / 10% fat patty,0.8708876371383667
23,93% lean ground beef,beef ground 93% lean meat / 7% fat patty cooked broiled,33786,beef ground 93% lean meat / 7% fat patty,0.8575736880302429
24,95% lean ground beef,beef ground 95% lean meat / 5% fat patty cooked broiled,34117,beef ground 95% lean meat / 5% fat patty,0.8654594421386719
25,96% lean ground beef,beef ground 97% lean meat / 3% fat patty cooked broiled,33814,beef ground 97% lean meat / 3% fat patty,0.8633541464805603
26,98% fat free cream of chicken soup,soup swanson chick broth 99% fat free,6400,soup swanson chick broth 99% fat free,0.8887681365013123
27,98% fat free cream of mushroom soup,campbell's 98% fat free cream of mushroom soup condensed,35082,campbell's 98% fat free cream of mushroom soup,0.8923343420028687
28,9 inch baked pie crust,pizza meat topping thick crust frozen cooked,30040,pizza meat topping thick crust frozen,0.8225466012954712
29,9 inch deep dish pie crust,pie crust deep dish frozen unbaked made with enriched flour,26630,pie crust deep dish frozen,0.8693453669548035
30,9 inch graham cracker crust,pie crust cookie-type graham cracker ready crust,26619,pie crust cookie-type graham cracker,0.8147535920143127
31,9 inch pie shell,arrowhead cooked boiled drained ,11579,arrowhead cooked,0.6752474308013916
32,a.1. original sauce,pasta mix classic bf unprepared,36566,pasta mix classic bf,0.7757580876350403
33,abalone,abalone mixed specie raw,20412,abalone,1.0
34,absinthe,celery raw,12000,celery,0.7479979991912842
35,absolut citron vodka,sauerkraut canned sol liquid,13005,sauerkraut canned sol liquid,0.7497150897979736
36,achiote,sapote mamey raw,8985,sapote,0.8207046389579773
37,achiote oil,chayote fruit raw,12020,chayote fruit raw,0.8038228750228882
38,achiote paste,mushroom shiitake cooked with salt,14224,mushroom shiitake cooked with salt,0.8082279562950134
39,achiote powder,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,2219,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,0.8252869844436646
40,acinus di pepe pasta,prego pasta chnky ground mshrm green pppr ital sauce ready-to-serve,5512,prego pasta,0.8155222535133362
41,acorn,acorn raw,15209,acorn,0.9999998211860657
42,acorn squash,acorn dried,15212,acorn dried,0.9422199130058289
43,active dry yeast,leavening agent yeast baker's compressed,26156,leavening agent yeast,0.8147909045219421
44,active starter,healthy request cream of celery condensed,6407,healthy request,0.7191736698150635
45,adobo sauce,oil babassu,2632,oil babassu,0.7552263140678406
46,adobo seasoning,inf formu mead john enfa lipil with iro liq concentrate with arachidonic acid docosahexaenoic acid,1847,inf formu mead john enfa lipil,0.7391095161437988
47,advocaat,infform meadjohnson infant formula gentlease lipil with iron prepfrpdr,2322,infform,0.7209785580635071
48,adzuki bean,bean adzuki mature seed raw,20830,bean adzuki,0.947053849697113
49,agar,"lamb domestic comp of retail cut lean fat 1/4""fat choice raw",22092,lamb,0.8097600936889648
50,agar agar,seaweed agar raw,13008,seaweed agar raw,0.7048560976982117
51,agar agar flake,seaweed agar raw,13007,seaweed agar,0.7724916338920593
52,agave,agave raw southwest,37182,agave,0.9999999403953552
53,agave nectar,pear nectar canned c,8834,pear nectar,0.8258688449859619
