,internal,best_match,index_of_bast_match,exact_best_match,similarity
0,1% fat buttermilk,milk buttermilk fluid cultured red fat,37686,milk buttermilk,0.8819375038146973
1,1% fat cottage cheese,cheese cottage low fat 1% milk fat,44,cheese cottage low fat 1% milk fat,0.8466161489486694
2,10% cream,milk imitation non-soy,38224,milk imitation,0.7428958415985107
3,100% bran,mixed nut dry roasted with peanut ,15323,mixed nut,0.7573826313018799
4,10 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.8991050720214844
5,12 inch pizza crust,"little caesar 14"" chip pizza thin crust",29309,"little caesar 14"" chip pizza thin crust",0.8443232774734497
6,18% table cream,ground turkey 85% lean 15% fat raw,4558,ground turkey 85% lean 15% fat raw,0.7916958332061768
7,2% buttermilk,milk buttermilk fluid cultured low fat,248,milk buttermilk,0.8825298547744751
8,2% cheddar cheese,cheese cheddar,18,cheese cheddar,0.9046404361724854
9,2% evaporated milk,milk red fat fluid 2% milk fat with added nfms vitamin a vitamin d,208,milk red fat fluid 2% milk fat with added nfms,0.7935266494750977
10,2% fat cottage cheese,cheese cottage low fat 2% milk fat,40,cheese cottage low fat 2% milk fat,0.8488436341285706
11,2% milk,milk fluid 1% fat vitamin a vitamin d,537,milk fluid 1% fat,0.838515043258667
12,2% mozzarella cheese,cheese mozzarella whole milk,64,cheese mozzarella,0.8935204744338989
13,35% cream,ground turkey 85% lean 15% fat raw,4556,ground turkey 85% lean,0.7598851323127747
14,6 inch corn tortilla,corned bf potato in tortilla apache,37171,corned bf potato in tortilla apache,0.8616738319396973
15,6 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.9008182287216187
16,7 up,tea tundra herb laborador combination alaska native,36954,tea,0.7079722285270691
17,80% lean ground beef,beef ground 80% lean meat / 20% fat patty cooked broiled,34201,beef ground 80% lean meat / 20% fat patty,0.8814117908477783
18,85% lean ground beef,ground turkey 85% lean 15% fat patty broiled,4566,ground turkey 85% lean 15% fat patty,0.8846035003662109
19,8 inch flour tortilla,wheat flour white tortilla mix enriched,28417,wheat flour white tortilla mix,0.8920498490333557
20,"9"" pastry pie shell","pizza hut 14"" chip pizza pan crust",29313,"pizza hut 14"" chip pizza pan crust",0.8407204747200012
21,"9"" unbaked pie shell",pie crust deep dish frozen unbaked made with enriched flour,26631,pie crust deep dish frozen unbaked,0.7970554232597351
22,90% lean ground beef,ground turkey 85% lean 15% fat patty broiled,4566,ground turkey 85% lean 15% fat patty,0.8801076412200928
23,93% lean ground beef,ground turkey 93% lean 7% fat patty broiled,4553,ground turkey 93% lean 7% fat patty,0.8743315935134888
24,95% lean ground beef,beef ground 95% lean meat / 5% fat patty cooked broiled,34117,beef ground 95% lean meat / 5% fat patty,0.8749048113822937
25,96% lean ground beef,pork ground 96% lean / 4% fat raw,11421,pork ground 96% lean / 4% fat raw,0.8747586011886597
26,98% fat free cream of chicken soup,campbell's 98% fat free cream of mushroom soup condensed,35082,campbell's 98% fat free cream of mushroom soup,0.9069828391075134
27,98% fat free cream of mushroom soup,campbell's 98% fat free cream of mushroom soup condensed,35082,campbell's 98% fat free cream of mushroom soup,0.9237565994262695
28,9 inch baked pie crust,pizza chip topping thin crust frozen cooked,29861,pizza chip topping thin crust frozen,0.8558240532875061
29,9 inch deep dish pie crust,pie crust deep dish frozen unbaked made with enriched flour,26630,pie crust deep dish frozen,0.8869019150733948
30,9 inch graham cracker crust,cracker matzo egg,25737,cracker matzo egg,0.8329687118530273
31,9 inch pie shell,"lamb australian imp fresh shoulder blade lean 1/8""fat raw",24255,"lamb australian imp fresh shoulder blade lean 1/8""fat",0.7063699960708618
32,a.1. original sauce,kfc fried chick original recipe breast meat nly skin brdng rd,29561,kfc fried chick original recipe breast,0.7527145147323608
33,abalone,abalone mixed specie raw,20412,abalone,1.0
34,absinthe,celery raw,12000,celery,0.6805101037025452
35,absolut citron vodka,apricot canned water pk sol liquid,8162,apricot canned water pk sol liquid,0.7436028718948364
36,achiote,sapote mamey raw,8985,sapote,0.7814127802848816
37,achiote oil,oil industrial canola hi oleic,3042,oil industrial canola hi oleic,0.7942097187042236
38,achiote paste,chayote fruit cooked boiled drained ,12023,chayote fruit cooked,0.7904945611953735
39,achiote powder,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,2219,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,0.807053804397583
40,acinus di pepe pasta,cereal farina enriched assorted brand dry,7060,cereal farina enriched,0.8040022253990173
41,acorn,acorn raw,15209,acorn,1.0
42,acorn squash,acorn flour full fat,15213,acorn flour,0.9524826407432556
43,active dry yeast,leavening agent yeast baker's compressed,26156,leavening agent yeast,0.8176321387290955
44,active starter,healthy request cream of celery condensed,6407,healthy request,0.7142466902732849
45,adobo sauce,pepeao dried,12277,pepeao dried,0.7845454812049866
46,adobo seasoning,beverage tea oolong brewed,18959,beverage tea oolong,0.7718762159347534
47,advocaat,infform meadjohnson infant formula gentlease lipil with iron prepfrpdr,2322,infform,0.6630827784538269
48,adzuki bean,bean adzuki mature seed raw,20830,bean adzuki,0.9444760680198669
49,agar,agave raw southwest,37182,agave,0.807704508304596
50,agar agar,seaweed agar raw,13008,seaweed agar raw,0.7511524558067322
51,agar agar flake,seaweed agar raw,13007,seaweed agar,0.7629354000091553
52,agave,agave raw southwest,37182,agave,0.9999996423721313
53,agave nectar,agave dried southwest,37187,agave dried southwest,0.8224259614944458
54,agave syrup,sweetener syrup agave,28146,sweetener syrup agave,0.8713492155075073
55,aged cheddar cheese,cheese cheddar,18,cheese cheddar,0.9263496994972229
56,aged white cheddar cheese,cheese cheddar,18,cheese cheddar,0.9091447591781616
57,ahi,poi,12673,poi,0.8046521544456482
58,ahi tuna steak,beef sandwich steak flaked chopped formed thinly sliced raw,15901,beef sandwich steak,0.8132985830307007
59,aioli,surimi,20261,surimi,0.8092913627624512
60,ajinomoto,taro chip,27864,taro chip,0.6827161908149719
61,ajwain,chickn broilr or fryrs breast sknlss boneless meat only cooked braised,4989,chickn,0.7711501717567444
62,albacore tuna,sardine pacific canned in tomato sauce drained sol with bone,20199,sardine pacific,0.7586585283279419
63,albacore tuna in water,tuna yellowfin fresh cooked dry heat,20648,tuna yellowfin fresh,0.774809718132019
64,alcaparrado,pan dulce la ricura salpora de arroz cookie-like,26675,pan dulce la ricura salpora de arroz,0.7875536680221558
65,alcohol,water bottled non-carbonated naya,19587,water,0.9381193518638611
66,ale,milk filled fluid with blend of hydrated veg oil,156,milk,0.901500940322876
67,aleppo pepper,oil mustard,2690,oil mustard,0.851708173751831
68,alfalfa,alfalfa seed sprouted raw,11566,alfalfa seed,0.9248302578926086
69,alfalfa sprout,brussels sprout raw,11866,brussels sprout,0.8925976157188416
70,alfredo sauce,sauce worcestershire,6359,sauce worcestershire,0.9082500338554382
71,alfredo sauce mix,sauce alfredo mix dry,6313,sauce alfredo mix,0.9765504598617554
72,all bran cereal,cereal rte rice puffed fort,7174,cereal rte rice,0.8586748242378235
73,all purpose flour,dock cooked boiled drained ,13512,dock cooked,0.789982259273529
74,all purpose greek seasoning,turkey liver all class raw,3992,turkey liver all class raw,0.7443692684173584
75,all purpose white flour,peanut all type raw,21216,peanut all type raw,0.812271773815155
76,alligator meat,pork skin plain,26902,pork skin,0.8885109424591064
77,allspice,allspice ground,864,allspice,0.9999999403953552
78,allspice berry,allspice ground,865,allspice ground,0.8706408739089966
79,almond,almond,15215,almond,0.9999997615814209
80,almond bark,oil almond,2624,oil almond,0.8973065614700317
81,almond biscotti,digiorno pizza pepperoni topping chip stuffed crust frozen baked,29767,digiorno pizza pepperoni topping,0.750186562538147
82,almond brickle chip,peach canned water pk sol liquid,8737,peach canned,0.8225706815719604
83,almond butter,almond butter plain ,15421,almond butter,0.9999997615814209
84,almond essence,almond butter plain ,15421,almond butter,0.9222904443740845
85,almond extract,vanilla extract,949,vanilla extract,0.9060954451560974
86,almond filling,almond butter plain ,15421,almond butter,0.9360164999961853
87,almond flavored liqueur,alcoholic beverage liqueur coffee 53 proof,19490,alcoholic beverage liqueur,0.8732181787490845
88,almond flavoring,sweetener for baking brown contains sugar sucralose,28127,sweetener for baking,0.8183537125587463
89,almond flour,almond paste,15224,almond paste,0.9103904366493225
90,almond half,snail raw,38318,snail raw,0.8465263247489929
91,almond liqueur,alcoholic beverage liqueur coffee 53 proof,19490,alcoholic beverage liqueur,0.9004496932029724
92,almond macaroon,cooky coconut macaroon,36162,cooky coconut macaroon,0.8885164856910706
93,almond meal,almond butter plain ,15421,almond butter,0.8890844583511353
94,almond milk,almond paste,15224,almond paste,0.9126005172729492
95,almond oil,almond paste,15224,almond paste,0.9224675893783569
96,almond paste,almond paste,15224,almond paste,0.9999997615814209
97,almond powder,almond paste,15224,almond paste,0.9264968633651733
98,almond syrup,almond butter plain ,15421,almond butter,0.9223462343215942
99,almond toffee bit,candy toffee prepared-from-recipe,27742,candy toffee,0.8688660860061646
100,alphabet pasta,formulated bar power bar chocolate,34873,formulated bar,0.8669015169143677
101,alum,wheat durum,28390,wheat durum,0.727286159992218
102,aluminum foil,frosting chocolate creamy rte,27391,frosting,0.6969404220581055
