,internal,best_match,index_of_bast_match,exact_best_match,similarity
0,1% fat buttermilk,cheese cream low fat,37978,cheese cream low fat,0.873839970140385
1,1% fat cottage cheese,cheese low fat cheddar or colby,512,cheese low fat,0.9018094388438128
2,10% cream,cream fluid half and half,128,cream,0.9558512556164481
3,100% bran,seal bearded oogruk meat dried alaska native,36885,seal,0.9409032701615314
4,10 inch flour tortilla,tortilla blue corn sakwavikaviki hopi,37262,tortilla blue corn,0.8513409806382539
5,12 inch pizza crust,pie crust standard-type dry mix,26043,pie crust,0.9307538166886163
6,18% table cream,cream substitute powdered,173,cream substitute,0.8434130965843376
7,2% buttermilk,milk buttermilk fluid cultured low fat,248,milk buttermilk,0.8415228869956747
8,2% cheddar cheese,cheese cheddar,18,cheese cheddar,0.8915830973227818
9,2% evaporated milk,milk fluid 1% fat vitamin a vitamin d,537,milk fluid 1% fat,0.8850410494119986
10,2% fat cottage cheese,cheese low fat cheddar or colby,512,cheese low fat,0.8982744534229873
11,2% milk,milk fluid 1% fat vitamin a vitamin d,537,milk fluid 1% fat,0.8826873711895284
12,2% mozzarella cheese,cheese mozzarella whole milk,64,cheese mozzarella,0.8716577023959337
13,35% cream,cream fluid half and half,128,cream,0.9561934603142461
14,6 inch corn tortilla,corned bf potato in tortilla apache,37171,corned bf potato in tortilla apache,0.8430839829759527
15,6 inch flour tortilla,wheat flour white tortilla mix enriched,28418,wheat flour white tortilla mix enriched,0.8450397410116439
16,7 up,wendy's double stack with chip,29866,wendy's double stack,0.8500871086707276
17,80% lean ground beef,beef ground 75% lean meat / 25% fat raw,34224,beef ground 75% lean meat / 25% fat,0.8895543659879966
18,85% lean ground beef,beef ground 75% lean meat / 25% fat raw,34224,beef ground 75% lean meat / 25% fat,0.8858808016886764
19,8 inch flour tortilla,wheat flour white tortilla mix enriched,28418,wheat flour white tortilla mix enriched,0.8447861217776869
20,"9"" pastry pie shell",pie crust standard-type dry mix,26043,pie crust,0.9092647078032275
21,"9"" unbaked pie shell",pie apple commonly prep enriched flour,25968,pie,0.9193515027207732
22,90% lean ground beef,beef ground patty frozen cooked broiled,15792,beef ground,0.8898655786281687
23,93% lean ground beef,beef ground patty frozen cooked broiled,15792,beef ground,0.8846839414216722
24,95% lean ground beef,beef ground patty frozen cooked broiled,15792,beef ground,0.8898878980208706
25,96% lean ground beef,beef ground 75% lean meat / 25% fat raw,34224,beef ground 75% lean meat / 25% fat,0.8800949711451498
26,98% fat free cream of chicken soup,campbell's 98% fat free cream of broccoli soup condensed,5475,campbell's 98% fat free cream of broccoli soup,0.8965415235187657
27,98% fat free cream of mushroom soup,campbell's 98% fat free cream of broccoli soup condensed,5475,campbell's 98% fat free cream of broccoli soup,0.9052204459750542
28,9 inch baked pie crust,pie crust deep dish frozen baked made with enriched flour,26640,pie crust deep dish frozen baked,0.911996918703761
29,9 inch deep dish pie crust,pie crust deep dish frozen unbaked made with enriched flour,26629,pie crust deep dish,0.9348240791565423
30,9 inch graham cracker crust,pie crust standard-type dry mix,26043,pie crust,0.9015291415641468
31,9 inch pie shell,pie crust standard-type dry mix,26043,pie crust,0.7832875459172918
32,a.1. original sauce,kashi (brand) original waffle,26735,kashi (brand) original waffle,0.8554511074909092
33,abalone,abalone mixed specie raw,20412,abalone,1.0000000000000002
34,absinthe,infform meadjohnson infant formula gentlease lipil with iron prepfrpdr,2322,infform,0.9159296978375646
35,absolut citron vodka,sauerkraut canned sol liquid,13003,sauerkraut,0.8009327270025773
36,achiote,sapote mamey raw,8985,sapote,0.9701468763397106
37,achiote oil,oil babassu,2632,oil babassu,0.9312631603525718
38,achiote paste,almond paste,15224,almond paste,0.9128135654297671
39,achiote powder,inf formula mea johnso enfami ar lipil powder with arachidonic acid docosahexaenoic acid,2218,inf formula mea johnso enfami ar lipil powder,0.9206767188689189
40,acinus di pepe pasta,prego pasta chnky ground mshrm green pppr ital sauce ready-to-serve,5512,prego pasta,0.8830673891647776
41,acorn,acorn raw,15209,acorn,1.0000000000000007
42,acorn squash,acorn flour full fat,15213,acorn flour,0.9257710037882877
43,active dry yeast,leavening agent yeast baker's active dry,26162,leavening agent yeast baker's active dry,0.9422464115065825
44,active starter,inf form abbott alimentum advance iron powder notrec docosahexaenoic acid arachidonic acid,2301,inf form abbott,0.8716731879199355
45,adobo sauce,guava sauce cooked,8553,guava sauce,0.9361965909473744
46,adobo seasoning,poultry seasoning,919,poultry seasoning,0.9111877739279691
47,advocaat,inf form nest good start essent soy with iron liq con not reco,2150,inf form nest,0.9537070989690029
48,adzuki bean,mung bean mature seed sprouted raw,11706,mung bean,0.9599768006824925
49,agar,kellogg kellogg's eggo (brand) buttermilk pancake,26446,kellogg,0.9813012090454614
50,agar agar,frybread made with lard navajo,37028,frybread,0.9649284775817846
51,agar agar flake,butterbur fuki raw,11889,butterbur,0.9283915681029056
52,agave,agave raw southwest,37182,agave,0.9999999999999999
53,agave nectar,tamarind nectar canned,9173,tamarind nectar,0.9130122860858305
54,agave syrup,fruit syrup,26844,fruit syrup,0.9279707759261623
55,aged cheddar cheese,cheese product past process cheddar red fat,37737,cheese product past process cheddar,0.8995698694849177
56,aged white cheddar cheese,cheese cheddar red fat,746,cheese cheddar red fat,0.9004419150683421
57,ahi,poi,12673,poi,0.9200389425847737
58,ahi tuna steak,tuna salad,20318,tuna salad,0.8914322320403321
59,aioli,escarole cooked boiled drained no salt added,12228,escarole,0.9320546868040684
60,ajinomoto,okara,21326,okara,0.9398612861971045
61,ajwain,loquat raw,8604,loquat,0.9444410289033025
62,albacore tuna,fish tuna light canned in water drained sol,20298,fish tuna,0.8908786104413189
63,albacore tuna in water,fish tuna light canned in water drained sol,20298,fish tuna,0.8837238662561031
64,alcaparrado,feijoa raw,9022,feijoa,0.9547140241994094
65,alcohol,sucker white raw,20255,sucker,0.9612805293520439
66,ale,chocolate dark 45- 59% cacao sol,28113,chocolate,0.945636527082827
67,aleppo pepper,pepper pasilla dried,15101,pepper pasilla,0.8970262724610601
68,alfalfa,alfalfa seed sprouted raw,11566,alfalfa seed,0.900732737457572
69,alfalfa sprout,brussels sprout raw,11866,brussels sprout,0.9174528752326094
70,alfredo sauce,sauce homemade white thin,5380,sauce homemade,0.9570656753928829
71,alfredo sauce mix,sauce alfredo mix dry,6313,sauce alfredo mix,0.9719283030575918
72,all bran cereal,corn bran crude,28207,corn bran,0.9372958159876827
73,all purpose flour,loganberry frozen,8598,loganberry,0.948615846662155
74,all purpose greek seasoning,poultry seasoning,919,poultry seasoning,0.8380168066705322
75,all purpose white flour,arrowroot flour,28183,arrowroot flour,0.9336396957964801
76,alligator meat,game meat beaver raw,23073,game meat beaver,0.95642502989414
77,allspice,allspice ground,864,allspice,1.0000000000000009
78,allspice berry,breadfruit seed raw,15147,breadfruit seed,0.8925862200895587
79,almond,almond,15215,almond,0.9999999999999996
80,almond bark,nut almond oil roasted with salt added smoke flavor,15477,nut almond,0.9140507948611626
81,almond biscotti,cheese fontina,52,cheese fontina,0.8688818295855394
82,almond brickle chip,potato chip white restructured baked,37775,potato chip white,0.9198684625946891
83,almond butter,almond butter plain ,15421,almond butter,1.0000000000000004
84,almond essence,almond butter plain ,15421,almond butter,0.9282838800632852
85,almond extract,vanilla extract,949,vanilla extract,0.9409027612446035
86,almond filling,pie filling apple canned,27574,pie filling,0.9336784951160684
87,almond flavored liqueur,alcoholic beverage liqueur coffee 53 proof,19490,alcoholic beverage liqueur,0.8575826010534805
88,almond flavoring,almond butter plain ,15421,almond butter,0.8811854600512127
89,almond flour,potato flour,12938,potato flour,0.9427480794270526
90,almond half,almond,15215,almond,0.958095588202632
91,almond liqueur,alcoholic beverage liqueur coffee 53 proof,19490,alcoholic beverage liqueur,0.8718560561016407
92,almond macaroon,apricot raw,8152,apricot,0.8762969969659462
93,almond meal,cottonseed meal part defatted glandless,15163,cottonseed meal,0.899051029390859
94,almond milk,coconut milk raw liq expressed from grated meat water,15299,coconut milk,0.9309156301738636
95,almond oil,vegetable oil palm kernel,2605,vegetable oil,0.94117847427082
96,almond paste,almond paste,15224,almond paste,1.0
97,almond powder,onion powder,905,onion powder,0.9394010349629766
98,almond syrup,fruit syrup,26844,fruit syrup,0.9447608028677112
99,almond toffee bit,yogurt vanilla low fat 11 gram protein per 8 oz,351,yogurt vanilla,0.908254195914023
100,alphabet pasta,pasta gluten-free corn dry,28427,pasta,0.9760999808776919
101,alum,chrysanthemum garland raw,12036,chrysanthemum,0.8801139489046519
102,aluminum foil,infform meadjohnson infant formula gentlease lipil with iron prepfrpdr,2322,infform,0.8971208050949737
103,aluminum free baking powder,leavening agent baking powder double-acting sodium al sulfate,26141,leavening agent baking powder,0.9107221969125131
104,amaranth,amaranth grain uncooked,28179,amaranth grain,0.9579303351423173
105,amaranth flour,amaranth grain uncooked,28179,amaranth grain,0.9561657289261918
106,amaretti,millet raw,28256,millet,0.9638336368725628
107,amaretti cooky,kellogg's beanatural original 3-bean chip,26772,kellogg's beanatural,0.9611999087687093
108,amaretto,butterbur fuki raw,11889,butterbur,0.9354780144866792
109,amaretto cooky,butterbur fuki raw,11889,butterbur,0.9410066837786637
110,amaretto liqueur,alcoholic beverage liqueur coffee 53 proof,19490,alcoholic beverage liqueur,0.8725554019753763
111,amarula cream liqueur,cream puff eclair custard or cream filled iced,26703,cream puff eclair,0.8716717506351315
112,amber beer,beverage amber hard cider,19169,beverage amber,0.9312631566716092
113,amber rum,beverage amber hard cider,19169,beverage amber,0.9558827322939568
114,amchoor powder,lemonade powder prep with water,19278,lemonade powder,0.9013648028500056
115,amchur powder,inf formula mead johnson next step prosobee powder not recon,2163,inf formula mead johnson next step prosobee powder,0.9392505042654358
116,american cheese,cheese american nonfat or fat free,165,cheese american,0.9366989716117375
117,amish starter,walrus liver raw alaska native,36969,walrus liver,0.9527373174285547
118,ammonia,roe mixed specie raw,20137,roe,0.9777765204046311
119,anaheim chili,worthington chili canned unprepared,21872,worthington chili,0.9730916757613831
120,anaheim chilies,worthington saucettes canned unprepared,21896,worthington saucettes,0.9298223146543383
121,anasazi bean,yardlong bean raw,12175,yardlong bean,0.9728898850718171
122,ancho chili,chili no bean canned entree,30062,chili,0.9448175033366911
123,ancho chilies,chorizo pork and beef,6477,chorizo,0.9190205534484495
124,anchovy packed in oil,anchovy european canned in oil drained sol,19916,anchovy european canned in oil drained sol,0.9204729226534413
125,anchovy,anchovy european raw,19910,anchovy,1.0000000000000013
126,anchovy fillet,denny's fish fillet battered or breaded fried,37344,denny's fish fillet,0.9088252496276191
127,anchovy paste,almond paste,15224,almond paste,0.9020449282821853
128,andes mint candy,candy toblerone milk chocolate with honey almond nougat,26801,candy,0.9582066642064366
129,andouille sausage,sausage berliner pork bf,6453,sausage berliner pork bf,0.8580790431693524
130,anejo cheese,liver cheese pork,6518,liver cheese,0.9472801092631181
131,angel flake coconut,acorn dried,15212,acorn dried,0.9075383780852522
132,angel food cake,cake fruitcake commonly prep,25455,cake fruitcake,0.9263485219706167
133,angel food cake mix,shortening cake mix soybean hydrated cottonseed hydrated,2656,shortening cake mix,0.9154294913452173
134,angel hair pasta,pasta homemade made with egg cooked,28452,pasta homemade,0.8787182737734448
