,internal,best_match,index_of_bast_match,exact_best_match,similarity
0,1% fat buttermilk,milk buttermilk fluid cultured red fat,37689,milk buttermilk fluid cultured red fat,0.8623058749606225
1,1% fat cottage cheese,cheese cottage low fat 2% milk fat,39,cheese cottage low fat,0.9354719731030752
2,10% cream,cream fluid half and half,128,cream,1.0
3,100% bran,oat bran raw,28260,oat bran,0.8737220635802178
4,10 inch flour tortilla,tortilla ready-to-bake or -fry flour refrigerated,26130,tortilla ready-to-bake or -fry flour,0.9071836660790273
5,12 inch pizza crust,"papa john's 14"" pepperoni pizza original crust",29293,"papa john's 14"" pepperoni pizza original crust",0.8548011675800453
6,18% table cream,cream fluid light coffee cream or table cream,133,cream fluid light coffee cream or table cream,0.8738056842376859
7,2% buttermilk,milk buttermilk fluid cultured low fat,248,milk buttermilk,0.8949410886086291
8,2% cheddar cheese,cheese cheddar,18,cheese cheddar,0.9999999999999999
9,2% evaporated milk,milk filled fluid with blend of hydrated veg oil,156,milk,0.7459484991301522
10,2% fat cottage cheese,cheese cottage low fat 2% milk fat,39,cheese cottage low fat,0.9354719731030752
11,2% milk,milk filled fluid with blend of hydrated veg oil,156,milk,1.0000000000000002
12,2% mozzarella cheese,cheese mozzarella whole milk,64,cheese mozzarella,0.9999999999999998
13,35% cream,cream fluid half and half,128,cream,1.0
14,6 inch corn tortilla,tortilla ready-to-bake or -fry corn,26127,tortilla ready-to-bake or -fry corn,0.8497822245705706
15,6 inch flour tortilla,tortilla ready-to-bake or -fry flour refrigerated,26130,tortilla ready-to-bake or -fry flour,0.8679987276647687
16,7 up,inf formula abbo nutrient similac for spit up ready to feed with arachidonic acid docosahexaenoic acid,2423,inf formula abbo nutrient similac for spit up,0.6999660546522861
17,80% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
18,85% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
19,8 inch flour tortilla,tortilla ready-to-bake or -fry flour refrigerated,26130,tortilla ready-to-bake or -fry flour,0.8725470661370509
20,"9"" pastry pie shell",kellogg's pop-tarts frosted pumpkin pie toaster pastry,35751,kellogg's pop-tarts frosted pumpkin pie toaster pastry,0.8311041970338939
21,"9"" unbaked pie shell",cooky marshmallow. chocolate-coated incl marshmallow. pie,25613,cooky marshmallow. chocolate-coated incl marshmallow. pie,0.8328477674223055
22,90% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
23,93% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
24,95% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
25,96% lean ground beef,beef australian imp grass-fed ground 85% lean / 15% fat raw,32459,beef australian imp grass-fed ground 85% lean / 15% fat,0.9151236871361297
26,98% fat free cream of chicken soup,campbell's 98% fat free cream of broccoli soup condensed,5475,campbell's 98% fat free cream of broccoli soup,0.9419228972189168
27,98% fat free cream of mushroom soup,campbell's 98% fat free cream of mushroom soup condensed,35082,campbell's 98% fat free cream of mushroom soup,0.9999999999999998
28,9 inch baked pie crust,pie crust standard-type prep from recipe baked,26065,pie crust standard-type prep from recipe baked,0.8648628307246282
29,9 inch deep dish pie crust,pie crust deep dish frozen unbaked made with enriched flour,26629,pie crust deep dish,0.8952471557961681
30,9 inch graham cracker crust,pie crust cookie-type graham cracker ready crust,26619,pie crust cookie-type graham cracker,0.8516490468522325
31,9 inch pie shell,cooky marshmallow. chocolate-coated incl marshmallow. pie,25613,cooky marshmallow. chocolate-coated incl marshmallow. pie,0.6696538984861476
32,a.1. original sauce,sauce teriyaki ready-to-serve,5283,sauce,0.8748658433926988
33,abalone,butter with salt,0,butter,0.0
34,absinthe,butter with salt,0,butter,0.0
35,absolut citron vodka,alcoholic beverage distilled vodka 80 proof,18538,alcoholic beverage distilled vodka,0.860962845693162
36,achiote,butter with salt,0,butter,0.0
37,achiote oil,oil soybean salad or cooking partially hydrogenated,2508,oil,1.0000000000000004
38,achiote paste,almond paste,15224,almond paste,0.8115676902604962
39,achiote powder,inf formula mead johnson next step prosobee powder not recon,2163,inf formula mead johnson next step prosobee powder,1.0
40,acinus di pepe pasta,prego pasta mushrm parmesan italian sauce ready-to-serve,5545,prego pasta mushrm parmesan italian sauce,0.7711409997785655
41,acorn,acorn raw,15209,acorn,1.0000000000000002
42,acorn squash,squash winter acorn raw,13150,squash winter acorn,0.9071548823229161
43,active dry yeast,leavening agent yeast baker's active dry,26162,leavening agent yeast baker's active dry,0.9999999999999998
44,active starter,butter with salt,0,butter,0.0
45,adobo sauce,sauce sofrito prep from recipe,5339,sauce sofrito,0.9007243238952558
46,adobo seasoning,poultry seasoning,919,poultry seasoning,0.8520999097146542
47,advocaat,butter with salt,0,butter,0.0
48,adzuki bean,bean kidney mature seed sprouted raw,11653,bean,0.9999999999999998
49,agar,butter with salt,0,butter,0.0
50,agar agar,butter with salt,0,butter,0.0
51,agar agar flake,celery flake dried,38269,celery flake,0.7525526015054258
52,agave,agave raw southwest,37182,agave,1.0000000000000002
53,agave nectar,agave raw southwest,37182,agave,1.0000000000000002
54,agave syrup,sweetener syrup agave,28146,sweetener syrup agave,1.0
55,aged cheddar cheese,cheese cheddar,18,cheese cheddar,0.934521639938378
56,aged white cheddar cheese,sunshine cheez-it white cheddar red fat cracker,35963,sunshine cheez-it white cheddar,0.9168942994961555
57,ahi,tuna salad,20318,tuna salad,0.6340768426573132
58,ahi tuna steak,tuna salad,20318,tuna salad,0.8412831472080112
59,aioli,sauce pesto ready-to-serve refrigerated,6166,sauce pesto,0.7881509566695296
60,ajinomoto,butter with salt,0,butter,0.0
61,ajwain,butter with salt,0,butter,0.0
62,albacore tuna,tuna fresh bluefin raw,20284,tuna,0.8876928953520429
63,albacore tuna in water,fish tuna light canned in water drained sol,20298,fish tuna,0.8685379182312746
64,alcaparrado,butter with salt,0,butter,0.0
65,alcohol,alcoholic beverage beer higher alcohol,19173,alcoholic beverage beer higher alcohol,0.7844753201850605
66,ale,beverage carbonated ginger ale,18779,beverage carbonated ginger ale,0.8288193985873058
67,aleppo pepper,pepper black,912,pepper,1.0
68,alfalfa,alfalfa seed sprouted raw,11566,alfalfa seed,0.8355262925135079
69,alfalfa sprout,alfalfa seed sprouted raw,11567,alfalfa seed sprouted,0.8389884182836131
70,alfredo sauce,sauce alfredo mix dry,6313,sauce alfredo mix,0.9406271384802193
71,alfredo sauce mix,sauce alfredo mix dry,6313,sauce alfredo mix,1.0
72,all bran cereal,cereal rte general mill fiber one bran cereal,7341,cereal rte general mill fiber one bran cereal,0.9220022981920357
