,internal,index_internal,exact_best_match,index_external,external,similarity
0,buttermilk 1% fat,0,milk fluid 1% fat,153.0,milk fluid 1% fat vitamin a vitamin d,0.8854535818099976
1,cottage cheese 1% fat,1,cheese cottage low fat 1% milk fat,15.0,cheese cottage low fat 1% milk fat,0.9270864725112915
2,cream 10%,2,ground turkey 85% lean 15% fat,1123.0,ground turkey 85% lean 15% fat raw,0.865058183670044
3,bran 100%,3,inf formula gerber good start,621.0,inf formula gerber good start protect plus ready to feed,0.8418191075325012
4,flour tortilla 10 inch,4,mission food mission flour tortilla soft taco 8 inch,5962.0,mission food mission flour tortilla soft taco 8 inch,0.8626829981803894
5,pizza crust 12 inch,5,"pizza hut 12"" chip pizza hand-tossed crust",6796.0,"pizza hut 12"" chip pizza hand-tossed crust",0.8630660772323608
6,table cream 18%,6,cream sub flavor,174.0,cream sub flavor liq,0.8587251901626587
7,buttermilk 2%,7,ham sliced reg approx 11% fat,1643.0,ham sliced reg approx 11% fat,0.8235634565353394
8,cheddar cheese 2%,8,cheese cheddar red fat,218.0,cheese cheddar red fat,0.8465316295623779
9,evaporated milk 2%,9,milk fluid 1% fat,153.0,milk fluid 1% fat vitamin a vitamin d,0.8575689196586609
10,fat cottage cheese 2%,10,cheese cottage low fat 2% milk fat,14.0,cheese cottage low fat 2% milk fat,0.8752338886260986
11,milk 2% ,11,milk fluid 1% fat,153.0,milk fluid 1% fat vitamin a vitamin d,0.8697202205657959
12,mozzarella cheese 2% ,12,cheese mozzarella part skim milk,27.0,cheese mozzarella part skim milk,0.8668303489685059
13,cream 35%,13,ground turkey 85% lean,1123.0,ground turkey 85% lean 15% fat raw,0.8568193912506104
14,tortilla 6 inch corn,14,tortilla,5849.0,tortilla ready-to-bake or -fry corn,0.8414419889450073
15,tortilla 6 inch flour,15,tortilla,5849.0,tortilla ready-to-bake or -fry corn,0.8478559851646423
16,softdrink 7 up,16,"beef comp of retail cut lean 0"" fat choice raw",7567.0,"beef comp of retail cut lean 0"" fat choice raw",0.8282945156097412
17,lean ground beef 80%,17,ground turkey 85% lean,1123.0,ground turkey 85% lean 15% fat raw,0.8726276755332947
18,lean ground beef 85%,18,ground turkey 85% lean,1123.0,ground turkey 85% lean 15% fat raw,0.8754339218139648
19,flour tortilla 8 inch,19,mission food mission flour tortilla soft taco 8 inch,5962.0,mission food mission flour tortilla soft taco 8 inch,0.8598239421844482
20,pastry pie shell 9 inch,20,cracker barrel onion ring thick-cut,8478.0,cracker barrel onion ring thick-cut,0.8408573865890503
